phase,config_id,algo,seed,env_steps,eval_return_iqm,eval_return_mean,success_rate,collision_rate,mean_ep_len,wait_freq,sr_kitchen,sr_bedroom,sr_bathroom,len_kitchen,len_bedroom,len_bathroom,sample_eff_steps_90,n_eval_episodes,wandb_run_name
p1,ppo_exp3,ppo,0,200704,27.8,27.32,1.0,0.0,13.4,0.0,1.0,1.0,1.0,11.0,11.0,23.0,160000,15,ppo_ppo_exp3_seed0
p1,ppo_exp3,ppo,1,200704,27.933333,27.68,1.0,0.0,14.266667,0.0,1.0,1.0,1.0,15.0,11.0,22.0,180000,15,ppo_ppo_exp3_seed1
p1,ppo_exp3,ppo,2,200704,24.955556,16.933333,0.8,0.0,47.333333,0.0,1.0,1.0,0.0,43.0,11.0,150.0,180000,15,ppo_ppo_exp3_seed2
p1,ppo_exp3,ppo,3,200704,1.088889,2.613333,0.466667,0.0,88.933333,0.241778,1.0,0.0,1.0,11.0,150.0,30.0,140000,15,ppo_ppo_exp3_seed3
p1,ppo_exp3,ppo,4,200704,22.755556,20.973333,1.0,0.0,45.133333,0.0,1.0,1.0,1.0,106.0,11.0,55.0,180000,15,ppo_ppo_exp3_seed4
p1,ppo_exp3,ppo,5,200704,27.8,27.44,1.0,0.0,13.8,0.0,1.0,1.0,1.0,11.0,11.0,25.0,140000,15,ppo_ppo_exp3_seed5
p1,ppo_exp3,ppo,6,200704,27.8,27.56,1.0,0.0,13.2,0.0,1.0,1.0,1.0,11.0,11.0,22.0,120000,15,ppo_ppo_exp3_seed6
p1,ppo_exp3,ppo,7,200704,27.8,27.56,1.0,0.0,13.2,0.0,1.0,1.0,1.0,11.0,11.0,22.0,160000,15,ppo_ppo_exp3_seed7
p1,ppo_exp3,ppo,8,200704,21.444444,14.826667,0.733333,0.0,51.866667,0.0,0.0,1.0,1.0,150.0,11.0,30.0,160000,15,ppo_ppo_exp3_seed8
p1,ppo_exp3,ppo,9,200704,27.244444,27.186667,1.0,0.0,15.066667,0.0,1.0,1.0,1.0,18.0,11.0,22.0,180000,15,ppo_ppo_exp3_seed9
