phase,config_id,algo,seed,env_steps,eval_return_iqm,eval_return_mean,success_rate,collision_rate,mean_ep_len,wait_freq,sr_kitchen,sr_bedroom,sr_bathroom,len_kitchen,len_bedroom,len_bathroom,sample_eff_steps_90,n_eval_episodes,wandb_run_name
p1,dqn_exp2,dqn,0,200000,28.8,28.64,1.0,0.0,16.133333,0.0,1.0,1.0,1.0,11.0,15.0,26.0,20000,15,dqn_dqn_exp2_seed0
p1,dqn_exp2,dqn,1,200000,-12.022222,-5.053333,0.266667,0.0,112.933333,0.062667,1.0,0.0,0.0,11.0,150.0,150.0,-1,15,dqn_dqn_exp2_seed1
p1,dqn_exp2,dqn,2,200000,27.888889,27.733333,1.0,0.0,15.0,0.0,1.0,1.0,1.0,17.0,11.0,23.0,110000,15,dqn_dqn_exp2_seed2
p1,dqn_exp2,dqn,3,200000,28.822222,28.533333,1.0,0.0,17.333333,0.0,1.0,1.0,1.0,17.0,15.0,24.0,20000,15,dqn_dqn_exp2_seed3
p1,dqn_exp2,dqn,4,200000,27.8,27.72,1.0,0.0,13.4,0.0,1.0,1.0,1.0,11.0,11.0,23.0,20000,15,dqn_dqn_exp2_seed4
p1,dqn_exp2,dqn,5,200000,28.822222,28.693333,1.0,0.0,18.533333,0.0,1.0,1.0,1.0,17.0,15.0,30.0,20000,15,dqn_dqn_exp2_seed5
p1,dqn_exp2,dqn,6,200000,27.933333,28.08,1.0,0.0,14.266667,0.0,1.0,1.0,1.0,15.0,11.0,22.0,10000,15,dqn_dqn_exp2_seed6
p1,dqn_exp2,dqn,7,200000,27.8,27.2,1.0,0.0,16.0,0.0,1.0,1.0,1.0,11.0,11.0,36.0,20000,15,dqn_dqn_exp2_seed7
p1,dqn_exp2,dqn,8,200000,27.8,18.84,0.8,0.0,38.8,0.110667,1.0,1.0,0.0,11.0,11.0,150.0,10000,15,dqn_dqn_exp2_seed8
p1,dqn_exp2,dqn,9,200000,27.8,27.76,1.0,0.0,13.2,0.0,1.0,1.0,1.0,11.0,11.0,22.0,135000,15,dqn_dqn_exp2_seed9
